ADM_CD,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1105053,39813.4278,39715.6062,39402.6444,39217.0756,39346.9297,39071.1681,39096.0736,39321.970799999996,39108.746100000004,39078.7568,40229.1851,40251.0308,40788.9884,41930.4976,41085.8968,40644.5674,41049.0139,41714.3433,46882.849799999996,47801.178499999995,48043.2907,47756.4062,45984.1199,41990.9807
1105054,23000.7685,23234.6006,23363.6934,23324.8653,23154.111,23536.8241,23235.3792,23904.1707,25437.5096,25265.3694,25854.9601,26328.1224,26143.2931,26173.3363,26488.8141,26367.6162,25038.4287,24426.363,24102.347999999998,23645.8793,23356.9587,23172.902000000002,23110.3422,22915.8769
1105055,15312.454,15104.9347,15149.338,15089.6313,15174.4586,15121.4137,15231.0885,14738.8119,13328.0628,12695.7319,12606.3241,12929.1901,12808.667500000001,12502.7089,12338.0066,12642.8475,13071.5288,13701.131300000001,14884.0087,15016.286,15027.1942,15026.9803,15256.2306,15100.3234
1105056,20959.3902,21277.6604,21678.453400000002,21923.2023,21855.132,21228.4644,19995.9706,18104.2182,15706.6062,14668.8985,14288.472600000001,14316.3272,14026.607100000001,13691.9439,13735.225999999999,14091.566200000001,13811.2158,14232.8983,15203.0566,15954.8083,16606.632400000002,17077.2838,17965.493,20237.460900000002
1105057,16002.537199999999,16219.875100000001,16265.6496,16513.953700000002,16499.4506,16346.3346,15840.8814,14976.9409,13388.3933,12821.181199999999,12596.8761,12488.9162,12571.7454,12448.7093,12562.181,13061.254,13331.9891,13729.6892,14008.295399999999,14733.8277,15697.2676,16276.1761,16522.051,15222.780999999999
1105058,25741.768,25540.4695,25584.1131,25419.382,25639.311,25127.643799999998,24205.7307,25366.391200000002,23842.3448,22660.3083,22002.9157,21926.2926,21460.5568,20101.6581,20106.4238,20779.5762,20443.628,20747.8631,21936.5486,22679.5412,23546.9436,24496.0167,24692.408199999998,25026.4357
1105059,12651.3508,12845.966400000001,12732.5962,12716.756,12465.6124,13121.6816,14005.2029,15764.6534,17773.4398,18092.5829,18290.066700000003,17698.3745,17615.1713,17800.7172,18598.4814,19199.3563,18134.053499999998,18518.9944,18317.5537,17349.5953,17223.0168,16288.9953,15622.215199999999,12492.4665
1105063,36700.4859,34329.4639,34798.5434,35149.0151,35395.6075,36021.822,35840.5611,35341.9591,36884.5971,36421.2943,35375.2182,34981.3872,34879.9865,35335.7884,34724.2229,33244.9014,33360.4065,33910.9182,34529.3646,34889.5046,34596.0182,34974.7593,35560.9688,35676.3673
1105064,25559.5428,25895.061,26206.2556,26418.6398,26526.0544,26461.9763,25888.4952,25386.0529,25220.4485,24730.9382,24421.3197,24051.1951,23600.5752,23915.276299999998,24043.5732,23823.8303,24121.2874,24188.981,23838.5701,24556.0586,24529.9784,24776.2932,25401.6683,24659.9577
1105065,23383.502099999998,23255.7245,23403.4623,23452.8076,23707.3646,23551.4504,24236.138,23661.853,22075.8481,20952.0453,19671.8206,18628.3918,18412.5141,19021.0082,18762.1984,18555.8793,19013.5096,19373.6956,20486.7977,20206.5003,20511.0327,21329.7733,21555.8991,22817.9647
1105066,26988.1786,27357.0778,27678.1444,27872.2272,27825.1264,27846.8333,27357.1398,26726.773100000002,26048.652,25095.784900000002,25074.6997,25333.5167,25448.5203,25241.263,25460.8546,24996.7391,25492.3397,27070.9834,28033.129999999997,28000.22,27458.3713,27251.8473,27505.7107,26440.2573
1105067,25666.1354,25508.9368,25404.2469,25419.9724,25340.971,25659.0289,26422.620600000002,28140.304,26834.744599999998,24587.1181,23902.5001,23696.2863,23988.2969,23558.6641,24531.4754,25381.8308,26776.2392,30195.982500000002,33576.6654,31269.2905,30607.638,30101.345,29386.5057,27289.9962
1105060,25356.3374,26023.5284,25972.6251,26060.1592,26238.6242,26113.5503,26047.8449,25370.3584,22603.03,21117.7404,20019.2836,20219.304,19510.0518,19325.5523,19914.4072,18749.979,19408.6651,19920.7496,20675.9535,21698.6707,22310.7454,23301.311700000002,23836.9121,25283.021
1105061,21566.1826,21388.7177,21427.956,21373.8213,21452.5198,21392.782900000002,20888.6545,20414.7686,17796.6083,16311.9115,15941.8706,15454.6997,15328.742699999999,15312.0653,14863.6921,15846.5984,16189.0257,16634.1263,17051.2715,17601.4406,18072.578400000002,18896.0043,20039.438000000002,21020.9556
1105062,27074.0808,27933.9541,27901.1889,27842.2965,27727.324,28433.139,29088.7657,28647.7408,27605.6408,27470.319600000003,27440.716500000002,27552.7928,28106.334600000002,29026.6142,29433.9863,31358.183,33549.3493,33870.0553,32973.0366,31510.0023,29839.8921,30066.9318,27925.660499999998,26785.3831
1106081,37889.7074,37712.4159,38317.9902,38711.4767,39210.6028,39597.6326,40603.1461,43158.3928,44779.0026,45202.3757,45666.4329,46410.5514,46451.066,46621.1864,46365.1684,46681.3092,46026.8233,45219.2227,42558.3463,40935.164000000004,41056.4278,40648.424100000004,40832.3604,37458.1105
1106082,31064.3105,31475.5338,31686.8692,32272.8712,32722.3334,32897.525,33337.5974,33787.2222,34672.9528,35481.6239,36505.2276,36891.0651,36637.9829,36197.4415,37158.2634,36680.404,35082.404200000004,33398.4681,31237.1313,30648.1125,30432.6077,30935.8816,31080.0142,30705.4156
1106083,34747.806599999996,34769.7845,34844.1747,35376.2726,35195.6856,35501.9405,35524.8456,34891.9127,33603.4865,33124.0675,33087.4461,33964.988900000004,33937.0774,34590.9436,34307.304299999996,33380.4015,33597.2415,34736.2483,35429.530699999996,36303.5225,35268.0321,36324.1713,36477.2944,33716.2795
1106084,15594.5582,15737.4511,15666.423,15608.0457,15599.1017,15315.5554,15095.4782,15211.4062,15695.3809,16262.6413,16143.618,16258.9589,16002.2398,16118.679,16224.4714,15669.3844,15341.4476,15358.1773,15027.9529,15382.1068,15414.639799999999,15268.263500000001,15516.1889,15250.3819
1106091,25576.9663,25552.9481,25801.2054,25733.8301,25864.7225,25585.1208,25465.1564,24844.1584,22610.397699999998,21472.2399,21039.803499999998,20423.1548,20364.6789,20592.1264,20319.9563,20363.1515,20502.824,20990.611,21851.2128,21886.539,22614.5536,22845.1357,23031.5327,25550.0713
1106086,22472.8161,22741.0478,22659.3661,22432.8948,22553.1057,22185.5352,21389.1,19366.9022,16711.7381,16199.5112,15683.286399999999,15623.8204,15424.9155,15562.7107,15414.6352,16702.0142,17007.1247,17237.1332,18432.2794,19021.0974,19481.039,20026.5247,20927.786,22494.1047
1106087,35743.4533,35433.0651,34990.113900000004,34857.4109,34761.674,34707.8517,34946.8337,34905.6407,34524.4069,34642.6741,34374.2581,34172.5294,34124.7299,33817.6789,33757.5473,33488.8065,34031.4368,34149.3051,34085.6895,34335.6411,34388.8225,34145.78,34472.5689,36295.8828
1106088,28700.8205,28804.8896,29190.7922,29192.7871,29226.3742,28950.3307,28098.5943,27126.7967,25928.3028,24963.7019,24971.1622,24867.5293,25453.2707,25283.187299999998,25087.3456,25870.8504,27099.0773,28315.9459,29251.8553,29738.963,29774.2345,29484.179,29497.3003,28368.5936
1106080,17412.0737,17525.4809,17567.377,17565.2405,17828.8654,18005.2548,18095.0226,19122.1866,19329.2482,19785.484099999998,20498.0323,20733.5803,20856.8209,21134.0994,21144.549,20605.1031,20276.5831,20008.2506,20022.3051,19310.9551,18883.6948,18637.4128,18643.321,17440.9372
1106071,18573.984,18303.4879,17989.2808,17901.6897,17813.104,17612.0117,17952.0697,20087.214,23429.417699999998,24663.7135,24834.1395,25193.8776,25199.7584,25035.015199999998,23968.637899999998,22235.0973,20191.4305,19068.9424,19142.0302,19825.0425,19502.7721,18921.8101,17983.9257,18292.660499999998
1106072,17071.2914,16738.0139,17047.1389,17107.25,17427.3738,17718.7904,18607.5684,19993.5354,17802.7694,16978.1803,16237.751,15645.640000000001,14932.2412,15127.0278,15047.894,15555.2747,16481.0815,17361.1275,17301.6461,17684.3286,17453.3478,17840.307099999998,18111.8331,16973.246900000002
1106073,20480.146399999998,20492.8528,20372.086,20345.859,20336.3118,20373.1307,19763.7981,19160.254100000002,19066.0845,17286.273,16218.4727,16160.6071,15154.9973,14979.3547,14606.3994,14025.2236,14354.6245,14147.2075,14726.2359,15312.8678,15799.3993,16666.12,17576.9279,19593.1668
1106089,24487.2585,24548.3596,24588.1993,24708.0666,24785.7079,25431.6296,26259.9648,26386.4677,27056.7301,27217.122,27844.5771,28344.3261,28654.284200000002,27832.8216,28243.5948,27306.7422,26272.421899999998,24954.0035,24337.8883,23584.0217,23651.4601,23116.3142,23598.7201,23558.2133
1106090,16361.7173,16313.2605,16386.2661,16307.0447,16289.2059,16122.2955,15907.5464,14653.6176,12134.3404,11281.811099999999,10724.7679,10327.76,9874.7204,9848.2521,9794.3987,10431.753499999999,10800.484199999999,10911.0591,11903.3082,11972.2377,12312.5441,13077.0101,13687.306799999998,16141.1766
1107052,21924.7453,21860.2779,21922.8949,22179.2266,22200.4741,21584.4988,20848.6964,18855.6273,17338.3669,16369.9841,16018.9529,15672.4842,15266.9202,15122.1304,15013.9242,14489.6959,14892.4542,15262.3322,15761.9165,16345.126,17274.2612,18049.8583,18746.9204,21657.3248
1107054,16911.0505,16902.6142,16889.2812,16977.7814,17146.528,17047.154,16655.8882,15410.7463,14192.3544,13236.1672,12759.1913,12615.159,12355.7233,12513.0942,12491.1985,12506.194,12551.4604,13192.1302,13742.038,14123.5613,14899.9128,15623.3121,16208.4465,16436.415
