Model_Num,Serial_Num,Type,Date,TempMax
SDOT001,OC3CL200174,roads_and_parks,20240804,36.9
SDOT001,OC3CL200175,residential_area,20240804,38.0
SDOT001,OC3CL200176,roads_and_parks,20240804,38.8
SDOT001,OC3CL200177,residential_area,20240804,38.5
SDOT001,OC3CL200179,residential_area,20240804,38.3
SDOT001,OC3CL200181,residential_area,20240804,37.6
SDOT001,OC3CL200182,residential_area,20240804,35.6
SDOT001,OC3CL200183,residential_area,20240804,37.4
SDOT001,OC3CL200184,residential_area,20240804,37.4
SDOT001,OC3CL200186,industrial_area,20240804,37.0
SDOT001,OC3CL200187,commercial_area,20240804,36.1
SDOT001,OC3CL200189,roads_and_parks,20240804,37.5
SDOT001,OC3CL200190,roads_and_parks,20240804,39.5
SDOT001,OC3CL200191,residential_area,20240804,38.4
SDOT001,OC3CL200192,roads_and_parks,20240804,37.2
SDOT001,OC3CL200194,roads_and_parks,20240804,36.7
SDOT001,OC3CL200196,residential_area,20240804,40.0
SDOT001,OC3CL200198,residential_area,20240804,38.4
SDOT001,OC3CL200199,industrial_area,20240804,37.8
SDOT001,OC3CL200200,residential_area,20240804,39.2
SDOT001,OC3CL200203,roads_and_parks,20240804,36.8
SDOT001,OC3CL200204,roads_and_parks,20240804,37.5
SDOT001,OC3CL200206,residential_area,20240804,38.2
SDOT001,OC3CL200211,roads_and_parks,20240804,39.0
SDOT001,OC3CL200212,roads_and_parks,20240804,39.5
SDOT001,OC3CL200213,roads_and_parks,20240804,37.0
SDOT001,OC3CL200215,residential_area,20240804,38.1
SDOT001,OC3CL200217,residential_area,20240804,39.7
SDOT001,OC3CL200218,residential_area,20240804,38.6
SDOT001,OC3CL200219,roads_and_parks,20240804,35.9
SDOT001,OC3CL200220,roads_and_parks,20240804,38.1
SDOT001,OC3CL200222,roads_and_parks,20240804,35.4
SDOT001,OC3CL200223,residential_area,20240804,39.5
SDOT001,OC3CL200224,residential_area,20240804,38.1
SDOT001,OC3CL200227,residential_area,20240804,39.6
SDOT001,OC3CL200228,traditional_markets,20240804,38.5
SDOT001,OC3CL200229,public_facilities,20240804,35.3
SDOT001,OC3CL200230,roads_and_parks,20240804,38.5
SDOT001,OC3CL200231,roads_and_parks,20240804,39.0
SDOT001,OC3CL200233,roads_and_parks,20240804,37.2
SDOT001,OC3CL200234,roads_and_parks,20240804,38.1
SDOT001,OC3CL200235,roads_and_parks,20240804,40.0
SDOT001,OC3CL200236,roads_and_parks,20240804,37.3
SDOT001,OC3CL200237,roads_and_parks,20240804,38.8
SDOT001,OC3CL200239,roads_and_parks,20240804,38.1
SDOT001,OC3CL200240,roads_and_parks,20240804,38.3
SDOT001,OC3CL200242,roads_and_parks,20240804,38.6
SDOT001,OC3CL200243,roads_and_parks,20240804,36.4
SDOT001,OC3CL200244,roads_and_parks,20240804,36.2
SDOT001,OC3CL200245,residential_area,20240804,38.7
SDOT001,OC3CL200246,roads_and_parks,20240804,25.8
SDOT001,OC3CL200247,residential_area,20240804,38.9
SDOT001,OC3CL200248,roads_and_parks,20240804,38.2
SDOT001,OC3CL200249,roads_and_parks,20240804,31.7
SDOT001,OC3CL200251,roads_and_parks,20240804,37.4
SDOT001,OC3CL200253,residential_area,20240804,39.4
SDOT001,OC3CL200254,roads_and_parks,20240804,37.6
SDOT001,OC3CL200255,residential_area,20240804,36.7
