Model_Num,Serial_Num,Year,Month,Day,Hour,Type,Gu_Name,Dong_Name,Temp
SDOT001,OC3CL200195,2023,1,4,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.4
SDOT001,OC3CL200195,2023,1,4,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.3
SDOT001,OC3CL200195,2023,1,4,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.8
SDOT001,OC3CL200195,2023,1,4,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.2
SDOT001,OC3CL200195,2023,1,4,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.3
SDOT001,OC3CL200195,2023,1,4,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.7
SDOT001,OC3CL200195,2023,1,4,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.5
SDOT001,OC3CL200195,2023,1,5,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.9
SDOT001,OC3CL200195,2023,1,5,2,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.2
SDOT001,OC3CL200195,2023,1,5,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.4
SDOT001,OC3CL200195,2023,1,5,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.5
SDOT001,OC3CL200195,2023,1,5,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.8
SDOT001,OC3CL200195,2023,1,5,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.2
SDOT001,OC3CL200195,2023,1,5,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.0
SDOT001,OC3CL200195,2023,1,5,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.1
SDOT001,OC3CL200195,2023,1,5,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.8
SDOT001,OC3CL200195,2023,1,5,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.2
SDOT001,OC3CL200195,2023,1,5,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.0
SDOT001,OC3CL200195,2023,1,5,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.2
SDOT001,OC3CL200195,2023,1,5,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.2
SDOT001,OC3CL200195,2023,1,5,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.4
SDOT001,OC3CL200195,2023,1,5,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.2
SDOT001,OC3CL200195,2023,1,5,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.8
SDOT001,OC3CL200195,2023,1,5,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,1.0
SDOT001,OC3CL200195,2023,1,5,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.4
SDOT001,OC3CL200195,2023,1,5,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.2
SDOT001,OC3CL200195,2023,1,5,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.5
SDOT001,OC3CL200195,2023,1,5,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.5
SDOT001,OC3CL200195,2023,1,6,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.9
SDOT001,OC3CL200195,2023,1,6,4,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.5
SDOT001,OC3CL200195,2023,1,6,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.7
SDOT001,OC3CL200195,2023,1,6,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.4
SDOT001,OC3CL200195,2023,1,6,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.0
SDOT001,OC3CL200195,2023,1,6,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.4
SDOT001,OC3CL200195,2023,1,6,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.7
SDOT001,OC3CL200195,2023,1,6,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.1
SDOT001,OC3CL200195,2023,1,6,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.1
SDOT001,OC3CL200195,2023,1,6,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,2.3
SDOT001,OC3CL200195,2023,1,6,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,3.9
SDOT001,OC3CL200195,2023,1,6,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,4.5
